"RefDes","Name","Value","Quantity"
"D1","APA3010F3C-GX","","1"
"J1","215760-1005","","1"
"J2, J3","1734592-6","","2"
"Q1","APA3010P3BT-GX ","","1"
"R1","CR0603-FX-4701ELF","4.7k","1"
"R2","CR0603-FX-39R0ELF","39","1"
"R3","RES 0603","0","1"
"WIRE1, WIRE2","SMD/Obr2.0x4.0","","2"
